comp  name  center_x  center_y  center_z  rin(z-in)  rin(z-out)  dout  length  angle  B  gradient
QF  QC1LPE435  -452.831563173529  0.000238  0.904456754773145  0.1  0.1  0.6  0.01  -0.04998610760407  0  12
QF  QC1LPE445  -452.831063176231  0.000249  0.914443754908313  0.1  0.1  0.6  0.01  -0.0499855665520018  0  12
QF  QC1LPE455  -452.83056417902  0.00026  0.92443175504784  0.1  0.1  0.6  0.01  -0.0499850080466412  0  12
QF  QC1LPE465  -452.830064181634  0.000271  0.934418755178646  0.1  0.1  0.6  0.01  -0.0499844844478656  0  12
QF  QC1LPE475  -452.829564184249  0.000282  0.94440675530945  0.1  0.1  0.6  0.01  -0.04998396084909  0  12
QF  QC1LPE485  -452.829065186777  0.000294  0.954393755435892  0.1  0.1  0.6  0.01  -0.0499834547036069  0  12
QF  QC1LPE495  -452.82856518913  0.000305  0.964381755553613  0.1  0.1  0.6  0.01  -0.0499829834647089  0  12
QF  QC1LPE505  -452.828065191309  0.000317  0.974368755662613  0.1  0.1  0.6  0.01  -0.0499825471323959  0  12
QF  QC1LPE515  -452.827566193401  0.000329  0.984356755767253  0.1  0.1  0.6  0.01  -0.0499821282533754  0  12
QF  QC1LPE525  -452.827066195144  0.000341  0.994343755854451  0.1  0.1  0.6  0.01  -0.049981779187525  0  12
QF  QC1LPE535  -452.826567196626  0.000353  1.00433175592857  0.1  0.1  0.6  0.01  -0.0499814824815522  0  12
QF  QC1LPE545  -452.826067197759  0.000365  1.01431875598525  0.1  0.1  0.6  0.01  -0.0499812555887494  0  12
QF  QC1LPE555  -452.825567198456  0.000377  1.02430675602013  0.1  0.1  0.6  0.01  -0.0499811159624093  0  12
QF  QC1LPE565  -452.82506819863  0.000389  1.03429375602885  0.1  0.1  0.6  0.01  -0.0499810810558242  0  12
QF  QC1LPE575  -452.824568198194  4e-04  1.04428175600705  0.1  0.1  0.6  0.01  -0.0499811683222868  0  12
QF  QC1LPE585  -452.824069196887  0.000412  1.05426875594165  0.1  0.1  0.6  0.01  -0.0499814301216746  0  12
QF  QC1LPE595  -452.823569194708  0.000423  1.06425675583265  0.1  0.1  0.6  0.01  -0.0499818664539876  0  12
QF  QC1LPE605  -452.823069191396  0.000434  1.07424375566697  0.1  0.1  0.6  0.01  -0.0499825296791034  0  12
QF  QC1LPE615  -452.822570186864  0.000444  1.08423175544025  0.1  0.1  0.6  0.01  -0.0499834372503144  0  12
QF  QC1LPE625  -452.82207018085  0.000454  1.0942187551394  0.1  0.1  0.6  0.01  -0.0499846415274983  0  12
QF  QC1LPE635  -452.821571173355  0.000463  1.10420675476442  0.1  0.1  0.6  0.01  -0.049986142510655  0  12
QF  QC1LPE645  -452.82107116429  0.00047  1.11419375431095  0.1  0.1  0.6  0.01  -0.0499879576530771  0  12
QF  QC1LPE655  -452.820571153831  0.000477  1.12418175378768  0.1  0.1  0.6  0.01  -0.0499900520481795  0  12
QF  QC1LPE665  -452.820072142501  0.000482  1.13416875322078  0.1  0.1  0.6  0.01  -0.0499923209762071  0  12
QF  QC1LPE675  -452.819572131257  0.000485  1.14415675265822  0.1  0.1  0.6  0.01  -0.0499945724509421  0  12
QF  QC1LPE685  -452.819072121757  0.000486  1.15414375218286  0.1  0.1  0.6  0.01  -0.0499964748598268  0  12
QF  QC1LPE695  -452.818572116005  0.000486  1.16413175189502  0.1  0.1  0.6  0.01  -0.0499976267771331  0  12
QF  QC1LPE705  -452.818073116441  0.000483  1.17411975191683  0.1  0.1  0.6  0.01  -0.0499975395106705  0  12
QF  QC1LPE715  -452.817573125767  0.000479  1.18410675238348  0.1  0.1  0.6  0.01  -0.0499956720083709  0  12
QF  QC1LPE725  -452.81707314651  0.000473  1.19409475342138  0.1  0.1  0.6  0.01  -0.0499915181247511  0  12
QF  QC1LPE735  -452.816573182157  0.000465  1.20408175520481  0.1  0.1  0.6  0.01  -0.0499843797281105  0  12
QF  QC1LPE745  -452.816074237502  0.000457  1.21406975797319  0.1  0.1  0.6  0.01  -0.0499732968873603  0  12
QF  QC1LPE755  -452.815574319605  0.000448  1.22405676207886  0.1  0.1  0.6  0.01  -0.0499568558858065  0  12
QF  QC1LPE765  -452.81507543657  0.000438  1.23404476792559  0.1  0.1  0.6  0.01  -0.0499334335672448  0  12
QF  QC1LPE775  -452.81457659328  0.000428  1.24403177575468  0.1  0.1  0.6  0.01  -0.0499020525472939  0  12
QF  QC1LPE785  -452.814078787555  0.000417  1.25401978545367  0.1  0.1  0.6  0.01  -0.049863149158267  0  12
QF  QC1LPE795  -452.813580011116  0.000406  1.26400679660533  0.1  0.1  0.6  0.01  -0.0498183814629533  0  12
QF  QC1LPE805  -452.813083253329  0.000394  1.27399480867609  0.1  0.1  0.6  0.01  -0.0497698787630404  0  12
QF  QC1LPE815  -452.812585505129  0.000382  1.28398282121219  0.1  0.1  0.6  0.01  -0.0497194562009503  0  12
QF  QC1LPE825  -452.812089760156  0.00037  1.29396983389589  0.1  0.1  0.6  0.01  -0.0496683878670369  0  12
QF  QC1LPE835  -452.811593014224  0.000358  1.30395784651897  0.1  0.1  0.6  0.01  -0.0496175115193413  0  12
QF  QC1LPE845  -452.811098264894  0.000345  1.31394585896049  0.1  0.1  0.6  0.01  -0.0495673158500539  0  12
QF  QC1LPE855  -452.810603510684  0.000332  1.32393287114754  0.1  0.1  0.6  0.01  -0.0495180975651477  0  12
QF  QC1LPE865  -452.810108750983  0.000318  1.33392088305063  0.1  0.1  0.6  0.01  -0.0494699788376702  0  12
QF  QC1LPE875  -452.809614985268  0.000305  1.34390889464468  0.1  0.1  0.6  0.01  -0.0494230643873766  0  12
QF  QC1LPE885  -452.809121213279  0.000291  1.35389690591763  0.1  0.1  0.6  0.01  -0.0493774065741444  0  12
QF  QC1LPE891  -452.808874  0.000277  1.35889  0.1  0.1  0.6  0.01  -0.0493330053979737  0  12
