# angles are given negative sign to be properly aligned.

#name    center_x center_y center_z rin(z-in) rin(z-out)  dout   length   angle      B      gradient
##             [m]      [m]      [m]      [m]        [m]      [m]      [m]   [rad]     [T]      [T/m]
DB BC1LE      -452.1676086  0    14.957952   0.1        0.1        0.6     3.9613     -0.04408      0.15264         0
DB BC2LE      -452.0191276  0    18.324166    0.1        0.1        0.6     3.9613     -0.04408      0.15264         0
DB BC3LE      -451.7932806  0    23.444332   0.1        0.1        0.6     3.9613     -0.04408      0.15264         0
DB BC4LE      -451.6557566  0    26.562141   0.1        0.1        0.6     3.9613     -0.04408      0.15264         0
QF QLY2LE.1   -451.5362241  0    29.321707   0.1        0.1        0.6     0.57004	0.04408      0                 12
DB BLY1LE.1   -451.2071715  0    38.500205   0.1        0.1        0.6     3.9613     -0.04408      0.15264            0
QF QLY3LE	  -451.0720198  0    41.678124   0.1	      0.1        0.6     0.57004    0.01704      0                 12
DB BLY1LE.2	  -451.0462157  0    44.857930   0.1	      0.1        0.6     3.9613     -0.01704      0.15264            0
QF QLY2LE.2   -451.0420726  0    48.037761   0.1	      0.1        0.6     0.57004   -0.0100       0                 12
DB BLB1LE     -451.1969748  0    65.189568   0.1        0.1        0.6     3.9613      -0.01000224  0.15264         0
DB BLX2LE.1   -451.8222238  0    85.484673   0.1        0.1        0.6     3.913       0.03300180  0.15264         0
DB BLX2LE.2   -451.9148198  0    91.443719   0.1        0.1        0.6     3.913       -0.00707368  0.15264         0

QF QLX1LE.2   -451.8777     0    94.423414    0.1        0.1        0.6     0.57        -0.01885444  0              12
QF QLA2LE     -451.7767     0    99.779190    0.1        0.1        0.6     0.57        -0.01885444  0              12
QF QLA3LE     -451.6751     0    105.166219   0.1        0.1        0.6     0.57        -0.01885444  0              12
QF QLA4LE     -451.5775     0    110.333232   0.1        0.1        0.6     0.5569      -0.01885444  0              12
DB BLA2LE     -451.5528     0    114.269470   0.1        0.1        0.6     5.902       -0.01885444  0.15264         0
QF QLA5LE     -451.3308     0    118.909935   0.1        0.1        0.6     0.826       -0.03949650  0              12  

DB BLA4LE.1   -450.6363     0    138.979145   0.1        0.1        0.6     5.902       -0.03949650  0.15264         0
DB BLA4LE.2   -449.9564     0    147.197153   0.1        0.1        0.6     5.902       -0.10586233  0.15264         0
DB B2E.4      -446.0634     0    170.699561   0.1        0.1        0.6     5.902       -0.17222818  0.15264         0
DB B2E.5      -442.2443     0    187.875764   0.1        0.1        0.6     5.902       -0.22797091  0.15264         0
DB B2E.6      -435.4265379  0    211.835571   0.1        0.1        0.6     5.902       -0.28371364  0.15264         0
DB B2E.7      -432.8334018  0    219.664596   0.1        0.1        0.6     5.902       -0.33945636  0.15264         0
DB B2E.8      -423.3922726  0    242.717471   0.1        0.1        0.6     5.902       -0.39519907  0.15264         0
DB B2E.9      -415.8695605  0    258.624624   0.1        0.1        0.6     5.902       -0.45094180  0.15264         0
DB B2E.10     -403.9222833  0    280.484341   0.1        0.1        0.6     5.902       -0.50668453  0.15264         0

name            x            y            z            rot          xysize         zsize
##             [m]          [m]          [m]          [rad]          [mm]          [mm]
CAL cal.1     -451.0263703   0          31.450518     0.0009830      250            500
DET det.1     -451.0520   0          47.01     3.131592654     500            1
DET det.2     -451.432311    0          31.450518     0.0440807559     500            1
